Product Name,Brand,Price,Rating,Review Count,Adjusted Score
Angel Elixir Eau de Parfum,MUGLER ,$98.00 - $195.00,4.6,4978,4.59
L'Interdit Eau de Parfum Rouge Ultime,Givenchy ,$157.00,4.1,362,4.09
Rue St. Honoré Eau de Parfum,OUAI ,$64.00,4.4,27,4.12
Sunkissed Hibiscus Eau de Parfum,NEST New York ,$92.00,4.7,131,4.42
Idôle L'Eau de Toilette,Lancôme ,$62.00 - $140.00,4.6,553,4.52
GABRIELLE CHANEL L'EAU Eau de Toilette Spray,CHANEL ,$143.00 - $176.00,4.3,8,4.07
White Tea Eau de Toilette,Elizabeth Arden ,$58.00 - $79.00,4.6,656,4.53
COCO Eau de Toilette Spray,CHANEL ,$116.00 - $150.00,4.5,13,4.1
'Ôrəbella Perfume Stand for 3.4 oz,Orebella ,$35.00,4.4,31,4.13
APPLE LOVE Eau de Parfum,Ellis Brooklyn ,$115.00,4.4,15,4.09
Pêche Délicieuse Eau de Parfum,LE MONDE GOURMAND ,$28.00,,0,
My Happy Peony Picnic,Clinique ,$108.00,4.5,123,4.3
Dean Street Eau de Parfum,OUAI ,$64.00,4.1,28,4.06
Golden Nectar Eau de Parfum,NEST New York ,$92.00,4.8,98,4.42
Amazing Grace Lavender Eau de Toilette,Philosophy ,$64.00,4.3,672,4.27
SUN FRUIT Eau de Parfum,Ellis Brooklyn ,$25.00 - $155.00,4.2,33,4.08
Lovely Sweet Dreams Eau de Toilette,DIME ,$52.00,4.1,12,4.05
Bronze Goddess Nuit Eau de Parfum,Estée Lauder ,$76.00 - $92.00,4.7,33,4.21
La Vie Est Belle L'Extrait Extrait de Parfum,Lancôme ,$140.00,4.6,97,4.32
Lucia Eau de Parfum,TOCCA ,$86.00,4.5,8,4.08
"""AFTER SUN"" by Vacation Eau de Toilette",Vacation ,$60.00,4.6,672,4.53
Core Memory Eau de Toilette,DIME ,$52.00,4.7,743,4.62
My Happy Baby Bouquet Perfume Spray,Clinique ,$35.00,4.1,47,4.06
SUPER AMBER Eau de Parfum,Ellis Brooklyn ,$115.00,3.9,28,4.01
SWEET Eau de Parfum,Ellis Brooklyn ,$115.00,4.4,67,4.19
Wildly Me Eau de Toilette,florence by mills ,$55.00,4.8,113,4.45
Sandalwood Eau de Parfum,Nemat ,$64.99,,0,
BEE Eau de Parfum,Ellis Brooklyn ,$115.00,4.1,41,4.06
Seville Orange Perfume Oil,NEST New York ,$102.00,4.7,234,4.5
Toy 2 Eau de Parfum,Moschino ,$56.00 - $96.00,4.4,399,4.33
Jasmine Blossom Eau de Parfum,Nemat ,$64.99,4.5,8,4.08
Classic Rain Eau de Parfum,Clean ,$44.00 - $74.00,4.2,17,4.07
Hesperides Grapefruit Eau de Parfum,fresh ,$58.00,4.3,58,4.14
FLORIST Eau de Parfum,Ellis Brooklyn ,$115.00,4.5,19,4.12
Daisy Dream Forever Eau de Parfum,Marc Jacobs ,$112.00,4.6,1085,4.55
Bamboo Eau de Toilette,Gucci ,$99.00 - $128.00,4.7,159,4.45
Vow Factor Eau de Toilette,Snif ,$65.00,4.8,369,4.64
Beautiful Magnolia L'Eau Eau de Toilette Spray,Estée Lauder ,$84.00 - $108.00,,0,
Bloom Ambrosia di Fiori Eau de Parfum Intense,Gucci ,$143.00,4.1,440,4.09
Love Club Eau De Parfum,NOYZ ,$85.00,4.1,201,4.08
Santal Gray Eau de Parfum,Lake & Skye ,$98.00,4.6,76,4.29
Island Vanilla Spray Perfume,Pacifica ,$27.00,2.2,84,3.2
Evening Glass Fragrance Oil,Pirette ,$48.00,4.7,6,4.08
House of 8 Eau de Toilette,Snif ,$65.00,4.7,240,4.51
ALLURE Eau de Toilette Spray,CHANEL ,$116.00 - $150.00,4.5,17,4.11
Chloé Eau de Toilette Rose Tangerine,Chloé ,$90.00,,0,
Be Delicious Orchard St.,DKNY ,$58.00 - $100.00,4.5,323,4.39
Ginger Essence Sensuous Skin Perfume Scent,Origins ,$77.00,3.6,8,4.01
Dream Moon Spray Perfume,Pacifica ,$27.00,4.1,15,4.05
Silver Moon Spray Perfume,Pacifica ,$27.00,4.2,26,4.08
Honey Suite Eau de Toilette,Snif ,$65.00,4.8,340,4.63
Sugar Lychee Eau de Parfum,fresh ,$58.00,3.8,24,4.0
Pure Grace Nude Rose Eau de Parfum,Philosophy ,$72.00,4.6,227,4.43
Green Tea Eau de Toilette Spray,Elizabeth Arden ,$49.00,4.4,26,4.12
Classic Apple Blossom,Clean ,$44.00 - $74.00,4.3,16,4.08
Red Rose Eau de Parfum,Nemat ,$64.99,4.2,6,4.06
Golden Ticket Eau de Toilette,Snif ,$65.00,4.8,212,4.56
Secret Genius Eau de Parfum,Pinrose ,$90.00,,0,
Nomade Eau de Toilette,Chloé ,$110.00,3.9,523,3.92
APRÈS Eau de Parfum,Ellis Brooklyn ,$115.00,4.5,13,4.1
Citrus Circus Eau de Toilette,Snif ,$65.00,4.8,221,4.57
Tache de Café Eau de Parfum,LE MONDE GOURMAND ,$28.00,3.6,10,4.01
Midnight 07 Eau de Parfum,Lake & Skye ,$98.00,4.4,122,4.24
Passion Fruit Spray Perfume,Pacifica ,$27.00,4.4,20,4.11
Sugar Lemon Eau de Parfum,fresh ,$58.00,,0,
Golden Glaze Eau de Parfum,Truly ,$59.00,3.8,6,4.03
Pure Grace Nude Rose Eau de Toilette,Philosophy ,$60.00,4.5,295,4.39
Scarlet Moon Eau de Parfum,RMS Beauty ,$150.00,4.7,123,4.41
Indian Coconut Nectar Spray Perfume,Pacifica ,$27.00,3.4,18,3.95
Beach Day Spray Perfume,Pacifica ,$27.00,3.9,18,4.02
Evening Glass Eau De Parfum,Pirette ,$78.00,,0,
DARK ROSE Eau de Parfum,OCTAVIA MORGAN LOS ANGELES ,$150.00,,0,
Black Orchid Parfum,TOM FORD ,$200.00 - $300.00,4.3,602,4.26
Pillowtalk Poet Eau de Parfum,Pinrose ,$90.00,4.2,23,4.08
Florence Olio Sublime Profumato - Scented Dry Body Oil,TOCCA ,$54.00,3.8,8,4.03
Cleopatra Olio Sublime Profumato - Scented Dry Body Oil,TOCCA ,$54.00,3.7,3,4.04
White Tea Ginger Lily Eau de Toilette,Elizabeth Arden ,$79.00,4.6,106,4.33
Sun Saint Eau de Parfum,Pinrose ,$90.00,4.7,3,4.07
White Tea Wild Rose Eau de Toilette,Elizabeth Arden ,$58.00 - $79.00,4.7,560,4.6
DKNY 24/7,DKNY ,$58.00 - $100.00,4.3,265,4.23
Black Orchid Eau De Toilette,TOM FORD ,$135.00 - $200.00,,0,
Santo Wood Eau de Parfum,Oak Essentials ,$110.00,4.1,52,4.06
Côte du Paradis Eau de Parfum,Lake & Skye ,$98.00,3.9,34,4.01
Cuir Rose Eau de Parfum,Oak Essentials ,$110.00,,0,
Stella Olio Sublime Profumato - Scented Dry Body Oil,TOCCA ,$54.00,4.3,4,4.06
Sakura Blossom Eau de Toilette Spray,Elizabeth Arden ,$49.00,4.6,7,4.08
Way with Woods Eau de Toilette,Snif ,$65.00,4.7,138,4.43
Perfect Charm Eau de Parfum - The Collector Edition,Marc Jacobs ,$135.00,4.6,2973,4.58
Apaaray Eau de Parfum,Lake & Skye ,$98.00,4.4,52,4.17
CK Everyone Eau de Toilette,Calvin Klein ,$59.00 - $75.00,4.2,1498,4.19
Born in Roma Donna Extradose Parfum,Valentino ,$115.00 - $198.00,,0,
Mon Paris Lumiere Eau de Toilette,Yves Saint Laurent ,$47.40,4.7,815,4.63
Angel Nova Eau de Parfum,MUGLER ,$88.00 - $152.00,4.4,1969,4.38
BONBON Eau de Parfum,Viktor&Rolf ,$170.00,4.6,2451,4.58
Amazing Grace Ballet Rose Eau de Toilette,Philosophy ,$64.00,4.6,1056,4.55
I Am Juicy Couture Eau de Parfum,Juicy Couture ,$96.00,4.7,110,4.39
Bloom Eau de Parfum Intense,Gucci ,$110.00 - $180.00,4.3,657,4.27
Amazing Grace Magnolia Eau de Parfum,Philosophy ,$72.00,4.6,288,4.46
Bloom Profumo di Fiori Eau de Parfum,Gucci ,$138.00 - $168.00,4.1,1083,4.1
Bloom Eau de Toilette,Gucci ,$90.00 - $141.00,4.5,4519,4.49
Amazing Grace Ballet Rose Eau de Parfum,Philosophy ,$74.00,4.6,355,4.48
Obsession Eau de Parfum,Calvin Klein ,$13.75,4.5,409,4.41
Bright Crystal Parfum,Versace ,$160.00,,0,
GABRIELLE CHANEL Parfum Spray,CHANEL ,$380.00,2.8,5,3.99
Eros Pour Femme Eau de Parfum,Versace ,$105.00,,0,
COCO Eau de Parfum Refillable Spray,CHANEL ,$135.00,,0,
Beautiful Belle Eau de Parfum,Estée Lauder ,$88.00,4.7,8917,4.69
Flowerbomb Dew Eau de Parfum,Viktor&Rolf ,$142.00,4.6,621,4.52
Toy 2 Bubble Gum Eau de Toilette,Moschino ,$89.00,3.8,42,3.97
Amazing Grace Magnolia Eau de Toilette,Philosophy ,$27.00,4.5,323,4.39
Spellbound Eau de Parfum Fragrance Spray,Estée Lauder ,$64.00,4.2,251,4.16
Turquatic Fragrance Blend Perfume Spray,MAC ,$70.00,4.4,576,4.35
Good Fortune Eau de Parfum,Viktor&Rolf ,$140.00,4.5,3758,4.49
Alien Goddess Intense Eau de Parfum,MUGLER ,$150.00,4.6,1810,4.57
Beach Eau De Parfum,BOBBI BROWN ,$90.00,4.6,404,4.49
