Product Name,Brand,Price,Rating,Review Count,Adjusted Score
Paradoxe Virtual Flower Eau de Parfum,Prada ,$100.00 - $170.00,4.7,461,4.58
I Want Choo Eau de Parfum,Jimmy Choo ,$79.00 - $140.00,4.5,2289,4.48
J'adore Eau Lumière Eau de Toilette,Dior ,$135.00,4.8,101,4.43
CHANCE EAU FRAÎCHE Eau de Parfum Spray,CHANEL ,$110.00 - $176.00,4.6,31,4.18
SALTED MUSE Parfum,Orebella ,$72.00 - $100.00,4.6,1033,4.55
Ocean di Gioia Eau de Parfum,ARMANI ,$70.00 - $130.00,4.6,371,4.48
Alien Eau de Parfum,MUGLER ,$98.00 - $185.00,4.7,2947,4.68
Sweet Like Candy Eau de Parfum,Ariana Grande ,$60.00 - $70.00,4.5,891,4.45
Ralph Eau de Toilette,Ralph Lauren ,$100.00,4.7,4772,4.69
Fame Couture Limited-Edition Eau de Parfum,Rabanne ,$162.00,4.4,83,4.21
Candy Eau de Parfum,Prada ,$90.00 - $160.00,4.7,7040,4.69
J'adore Parfum D'eau Eau de Parfum,Dior ,$108.00 - $172.00,4.6,3815,4.59
Amber Eau de Parfum,Nemat ,$59.99,3.4,139,3.67
Mon Paris Intensément Eau de Parfum,Yves Saint Laurent ,$52.20 - $120.00,4.5,269,4.38
Dylan Purple Pour Femme Eau de Parfum,Versace ,$75.00 - $130.00,3.9,269,3.94
Black Opium Le Parfum,Yves Saint Laurent ,$115.00 - $195.00,4.6,1860,4.57
L'Eau de Parfum Lumineuse,Chloé ,$105.00 - $138.00,4.4,1027,4.37
La Vie Est Belle L'Elixir Eau de Parfum,Lancôme ,$94.00 - $165.00,4.7,278,4.53
Daisy Love Eau de Toilette,Marc Jacobs ,$76.00 - $137.00,4.7,6401,4.69
Blue Eau de Toilette,Ralph Lauren ,$105.00,4.5,4435,4.49
CHANCE Eau de Parfum Spray,CHANEL ,$143.00 - $176.00,4.5,65,4.23
Daisy Eau So Fresh Glow Limited Edition Eau de Toilette,Marc Jacobs ,$119.00,4.6,231,4.43
CHANCE EAU FRAÎCHE Eau de Toilette Spray,CHANEL ,$116.00 - $150.00,4.5,116,4.29
Libre Flower & Flames Eau de Parfum Florale,Yves Saint Laurent ,$100.00 - $170.00,4.8,1785,4.76
Her Eau de Parfum Petals Limited Edition,Burberry ,$168.00,4.5,5098,4.49
J'adore Eau de Parfum Infinissime,Dior ,$142.00 - $220.00,4.5,163,4.33
Ari Eau de Parfum,Ariana Grande ,$48.00 - $70.00,4.6,714,4.53
Alien Goddess Eau de Parfum,MUGLER ,$98.00 - $185.00,4.6,4293,4.59
Daisy Eau So Fresh Eau de Toilette,Marc Jacobs ,$76.00 - $153.00,4.7,10466,4.69
Viva La Juicy Le Bubbly Eau De Parfum,Juicy Couture ,$99.00 - $122.00,4.5,444,4.42
Angel Eau de Parfum,MUGLER ,$98.00 - $195.00,4.4,1877,4.38
Vanilla Musk Eau de Parfum,Nemat ,$59.99,3.9,59,3.99
Miss Dior Eau de Toilette,Dior ,$113.00 - $145.00,4.7,1837,4.67
Flora Gorgeous Magnolia Eau de Parfum,Gucci ,$105.00 - $208.00,4.7,960,4.64
MOD Blush Eau de Parfum,Ariana Grande ,$48.00 - $70.00,4.3,307,4.24
7 Summers Eau de Toilette,DIME ,$52.00,4.7,4713,4.69
Me Eau de Toilette,Snif ,$65.00,4.7,78,4.33
Violet Santal Eau de Parfum,Oak Essentials ,$110.00,4.7,84,4.34
BLOOMING FIRE Parfum,Orebella ,$72.00 - $100.00,4.7,540,4.6
Flowerbomb Tiger Lily Eau de Parfum,Viktor&Rolf ,$145.00 - $180.00,4.7,1457,4.66
Cloud 2.0 Intense Eau de Parfum,Ariana Grande ,$70.00,4.2,422,4.17
Burberry Goddess Eau de Parfum Intense,Burberry ,$108.00 - $175.00,4.7,1420,4.66
Perfect Elixir Eau de Parfum,Marc Jacobs ,$93.00 - $165.00,4.5,692,4.44
My Way Eau de Parfum Ylang,ARMANI ,$95.00 - $160.00,4.7,266,4.52
Amber Fragrance Oil,Nemat ,$20.99,3.9,289,3.94
Kate Spade New York Eau de Parfum,Kate Spade New York ,$58.00 - $99.00,4.6,573,4.52
Nomade Eau de Parfum,Chloé ,$105.00 - $162.00,4.6,381,4.48
Amazing Grace Eau de Toilette,Philosophy ,$29.00 - $84.00,4.6,15925,4.6
Wild Rose Eau de Parfum,Coach ,$75.00 - $118.00,4.6,429,4.5
Idôle Power Eau De Parfum Intense,Lancôme ,$68.00 - $155.00,4.5,481,4.42
Rose Gold Eau de Parfum,Tiffany & Co. ,$105.00 - $160.00,4.4,1219,4.37
Her Eau de Toilette,Burberry ,$90.00 - $145.00,4.4,661,4.35
Devotion Eau de Parfum Intense,Dolce&Gabbana ,$108.00 - $175.00,4.3,104,4.18
God Is A Woman Eau de Parfum,Ariana Grande ,$48.00 - $70.00,4.1,1362,4.1
COCO MADEMOISELLE L'EAU PRIVÉE Eau Pour la Nuit Spray,CHANEL ,$116.00 - $150.00,4.3,25,4.1
Guilty Pour Femme Eau de Parfum,Gucci ,$105.00 - $168.00,4.4,860,4.36
Thank U Next Eau de Parfum,Ariana Grande ,$48.00 - $70.00,,0,
Her London Dream Eau de Parfum,Burberry ,$105.00 - $168.00,4.4,620,4.35
Hypnotic Poison Eau de Toilette,Dior ,$93.00 - $113.00,4.5,523,4.43
Crystal Noir Eau de Toilette,Versace ,$70.00 - $92.00,4.5,314,4.39
The Only One Eau de Parfum,Dolce&Gabbana ,$95.00 - $129.00,4.6,182,4.4
Acqua di Gioia Eau de Parfum Intense,ARMANI ,$105.00 - $130.00,4.7,198,4.48
Fever Eau de Parfum,Jimmy Choo ,$76.00 - $132.00,4.7,565,4.6
Romance Elixir,Ralph Lauren ,$135.00,4.3,1874,4.29
I Want Choo Forever Eau de Parfum,Jimmy Choo ,$79.00 - $140.00,4.7,1782,4.67
Irresistible Nude Velvet Eau De Parfum,Givenchy ,$125.00 - $145.00,4.4,166,4.27
Brit For Her Eau de Parfum,Burberry ,$105.00,4.7,496,4.59
Yellow Diamond Eau de Toilette,Versace ,$70.00 - $110.00,4.6,424,4.49
Light Blue Eau Intense Eau de Parfum,Dolce&Gabbana ,$125.00 - $155.00,4.3,262,4.23
Flowerbomb Nectar Eau de Parfum,Viktor&Rolf ,$150.00 - $185.00,4.8,1152,4.74
Fame Eau de Parfum Intense,Rabanne ,$90.00 - $159.00,4.5,253,4.37
Signature Eau de Parfum,Tory Burch ,$125.00 - $155.00,4.6,108,4.33
Bloom Eau de Parfum,Gucci ,$105.00 - $168.00,4.5,4519,4.49
Cashmere Mist Eau de Parfum,Donna Karan ,$78.00 - $130.00,4.6,334,4.47
Irresistible Rose Velvet Eau de Parfum,Givenchy ,$95.00 - $145.00,4.7,1737,4.66
WINDOW2SOUL Parfum,Orebella ,$72.00 - $100.00,4.7,725,4.62
The One Signature Hair Perfume,KRISTIN ESS HAIR ,$19.00,4.6,76,4.29
Donna Born In Roma Yellow Dream Eau de Parfum,Valentino ,$170.00,4.7,438,4.58
Happy Heart Perfume Spray,Clinique ,$65.00 - $108.00,4.8,536,4.68
My Way Eau de Parfum Intense,ARMANI ,$95.00 - $160.00,4.6,1284,4.56
Beautiful Eau de Parfum Spray,Estée Lauder ,$64.00 - $124.00,4.6,1048,4.55
L’Eau de Parfum Intense,Chloé ,$110.00 - $176.00,4.4,1027,4.37
Versace Crystal Noir Eau De Parfum,Versace ,$130.00,4.6,31,4.18
Jimmy Choo Eau de Parfum,Jimmy Choo ,$76.00 - $103.00,4.6,522,4.51
Be Delicious Eau de Parfum,DKNY ,$58.00 - $100.00,4.7,540,4.6
Alien Hypersense Eau de Parfum,MUGLER ,$98.00 - $185.00,4.5,1806,4.48
NIGHTCAP Parfum,Orebella ,$72.00 - $100.00,3.7,235,3.8
Flora Gorgeous Jasmine Eau de Parfum,Gucci ,$105.00 - $168.00,4.3,1766,4.29
Trésor Eau de Parfum,Lancôme ,$85.00 - $150.00,4.7,624,4.61
Voce Viva Eau de Parfum,Valentino ,$100.00 - $170.00,4.6,3021,4.58
Bamboo Eau de Parfum,Gucci ,$121.00 - $128.00,4.7,1333,4.65
Vanilla Vice Eau de Toilette,Snif ,$65.00,4.7,902,4.63
My Way Nectar Eau de Parfum,ARMANI ,$95.00 - $160.00,4.5,478,4.42
"""VACATION"" by Vacation Eau de Toilette",Vacation ,$60.00,4.5,1705,4.47
Daisy Love Glow Limited Edition Eau de Toilette,Marc Jacobs ,$101.00,4.6,109,4.34
Daisy Wild Eau So Intense Eau de Parfum,Marc Jacobs ,$90.00 - $160.00,4.6,330,4.47
Rose Gold Intense Eau de Parfum,Tiffany & Co. ,$110.00 - $175.00,4.4,1219,4.37
Miss Dior Eau de Parfum Roller-Pearl,Dior ,$56.00,4.6,9730,4.59
Dreams Eau de Parfum,Coach ,$74.00 - $112.00,4.3,1358,4.28
Viva La Juicy Gold Couture Eau de Parfum,Juicy Couture ,$99.00 - $122.00,4.6,301,4.46
Pleasures Eau de Parfum Perfume Spray,Estée Lauder ,$68.00 - $92.00,4.8,700,4.71
Guilty Pour Femme Eau de Toilette,Gucci ,$90.00 - $141.00,4.3,1745,4.29
Tiffany Eau de Parfum,Tiffany & Co. ,$105.00 - $160.00,4.2,426,4.17
Rose Era Eau de Toilette,Snif ,$65.00,4.8,970,4.73
Flowerbomb Ruby Orchid Eau de Parfum,Viktor&Rolf ,$97.00 - $235.00,4.6,969,4.55
The One Eau de Parfum,Dolce&Gabbana ,$129.00 - $152.00,4.7,268,4.52
Viva La Juicy Sucré Eau De Parfum,Juicy Couture ,$99.00 - $122.00,4.4,435,4.33
Beautiful Magnolia Eau de Parfum Spray,Estée Lauder ,$68.00 - $120.00,4.8,7783,4.79
Chérie Eau de Parfum,Kate Spade New York ,$55.00 - $95.00,4.6,838,4.54
Dylan Blue Pour Femme Eau de Parfum,Versace ,$105.00 - $130.00,4.5,401,4.41
Melrose Place Eau de Parfum,OUAI ,$64.00,4.3,159,4.2
GABRIELLE CHANEL ESSENCE Eau de Parfum Spray,CHANEL ,$147.00 - $182.00,4.6,47,4.22
